Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
23.44;30.18;17.09;59.11;82.6;36.05;10.584;3.064835702;0;4.363053648
24.72;31.24;19.33;53.39;79.6;28.3;15.14592;3.342954807;0;5.394335482
24.92;31.7;18.88;55.21;80;29.75;15.02496;3.538190735;0;5.561684376
24.1;30.44;19.13;64.46;87;33.53;10.05696;3.362294215;0;4.562795108
23.87;29.05;19.6;61.9;84.9;37.31;7.70688;3.387159168;0;4.095793698
24.77;30.58;18.73;58.49;88.2;34.19;11.49984;3.552004598;0.254;4.778177593
24.71;31.04;17.88;58.11;88.1;31.54;12.02688;3.551083673;0;5.016253892
24.37;31.64;19.34;62.39;81.6;33.8;11.37888;3.249941464;0;4.857031689
24.24;30.38;20.06;61.06;80.9;36.25;9.0288;2.428477087;0;3.832751688
25.76;32.7;19.4;56.25;84.2;32.07;15.61248;2.206534357;0;4.583729434
25.09;32.7;18.54;59.58;89.7;30.02;14.59296;1.787513851;0;4.116427203
25.52;32.03;19.87;53.16;79.1;27.44;14.99904;2.990240842;0;5.305106442
24.26;31.44;18.74;62.93;84.3;36.65;13.8672;3.184555846;0;4.855258305
24.9;32.17;20.39;58.52;78.5;29.69;13.84992;2.707517116;0;4.933425795
24.77;32.43;18.61;57.1;85.5;28.56;12.11328;1.784751079;0;3.93452208
25.24;32.83;18.48;53.63;84.8;26.24;15.43104;1.622668421;0;4.175182406
25.56;32.1;19.54;53.55;80.6;28.36;15.67296;2.58963882;0;5.005489787
25.18;31.97;17.22;53.47;88.4;24.78;15.91488;2.089576985;0;4.58334135
24.24;32.7;15.69;58.6;90.8;24.52;14.97312;1.326130832;0;3.80805066
24.84;33.82;17.09;53.14;87.7;22.13;16.33824;0.893296463;0;3.561219883
26.68;35.34;17.48;46.77;83.9;18.56;16.23456;1.476241475;0;4.468443745
25.63;32.7;18.74;51.73;82.1;27.04;15.88896;2.976426979;0;5.468188414
24.94;31.97;17.28;53.04;86.1;25.78;15.75936;2.508597491;0;4.96132253
24.65;31.9;15.17;51.43;89.9;27.9;16.29504;2.078525895;0;4.543189475
25.44;32.3;18.08;46.36;77;22.93;16.42464;3.125616698;0;5.819630612
24.74;31.37;17.22;52.01;86.7;25.98;14.9472;3.376108077;0;5.497036892
24.95;31.77;17.88;53.59;84.8;27.37;15.75936;3.215867269;0;5.480451625
24.4;30.64;17.68;54.09;85.7;28.03;14.69664;3.764738085;0.254;5.565083547
24.56;31.11;18.01;51.12;84.2;24.78;15.27552;3.50411654;0.508;5.670570593
24.38;31.44;14.51;52.82;90.2;26.11;16.39008;2.221269144;0;4.696415585
24.78;31.84;17.55;59.3;91.7;31.54;15.95808;3.384396395;0.508;5.369263715
23.2;30.25;17.14;59.72;93.1;29.42;12.98592;3.320852626;0.508;4.899114689
24.12;30.51;18.41;56.96;77;32.14;13.78944;3.846700338;0;5.539837843
24.31;31.44;17.95;56.47;89.8;26.71;16.39008;4.553970115;0.254;6.355374546
25.41;30.11;19.46;55.1;84.7;34.66;16.45056;3.319931702;0;5.15705177
23.38;29.91;16.16;59.62;89;32.94;14.07456;2.544513535;0;4.411967053
24.29;31.5;15.63;54.4;88.3;30.75;15.56928;3.51516763;0;5.529712638
24.13;31.24;16.43;51.57;82.2;26.64;17.1072;3.346638503;0;5.761674352
24.46;31.24;17.42;55.7;85.7;28.76;16.5888;2.946957405;0;5.289972718
24.88;32.1;17.48;49.6;84.7;24.52;17.21088;2.978268828;0;5.662446498
24.07;31.7;17.22;51.04;81.8;24.32;17.4528;1.981828855;0;4.803714711
24.72;32.9;17.42;51.48;86.7;23.59;17.52192;1.57846406;0;4.522154727
25.32;32.9;18.94;49.84;76.9;27.63;17.34912;2.071158501;0;5.007007517
25.55;33.62;18.01;47.14;81.3;19.95;17.46144;1.888815512;0;5.042448515
26.26;34.35;18.35;53.25;87.5;24.78;16.632;1.796723093;0;4.801924026
26.55;33.62;19.8;46.96;79;24.19;16.78752;3.267439023;0;6.222309896
25.56;32.37;18.54;48.02;79.3;27.63;17.5392;3.41847059;0;6.082407656
25.74;32.7;17.75;50.16;84.9;26.38;17.31456;2.734223918;0;5.536609247
25.69;34.55;18.21;42.56;69.35;18.22;17.80704;1.536101548;0;4.895909264
26.36;34.48;18.74;53.66;85.9;27.37;16.86528;1.325209908;0;4.342129806
26.96;34.35;16.29;50.17;84.8;23.13;17.15904;2.31704526;0;5.501870571
27.56;34.94;20.4;47.04;79.8;23.39;16.83936;3.062072929;0;6.299682778
26.11;32.96;18.81;51.1;81.3;27.57;15.92352;3.664357349;0;6.212150939
26.23;33.09;22.51;53.17;69.21;29.89;12.29472;2.596085289;0;5.11637654
25.33;33.82;19.14;54.11;77.1;24.85;14.24736;1.665951858;0;4.499047771
27.61;37.06;16.75;43.77;87.5;13.91;18.24768;2.216664523;0;6.145248649
26.91;33.43;19.94;44.57;73.3;24.59;18.23904;3.972866952;0;7.053704953
25.52;32.17;18.88;52.36;78.2;32.01;11.76768;3.564897536;0;5.502822025
24.27;30.25;18.94;59.74;76.5;40.09;11.63808;3.841174793;0;5.07171278
23.52;29.58;17.22;64.63;91.6;39.43;10.40256;2.828158185;0;4.020525143
24.49;30.84;17.22;63.54;93.4;36.51;11.24064;3.338350186;0.254;4.645207449
25.46;31.97;19.13;49.95;84.8;23.86;17.77248;3.753686995;0;6.410884664
25.38;31.97;19.01;53.47;81.4;28.36;16.77888;3.046417218;0;5.68585618
26.69;33.69;20;49.92;77.6;26.64;17.52192;3.285857507;0;6.342607301
26.11;31.24;21.92;59.19;78.6;38.63;11.56032;3.42952168;0;5.007971271
25.8;32.3;18.94;52.34;82.2;28.56;15.81984;3.229681131;0;5.807168577
26.27;33.09;20.13;48.83;75.9;23.99;17.6688;4.102717263;0;7.103289207
26.16;33.29;19.53;51.38;87.6;22.33;17.48736;4.174549349;0;7.010289676
25.32;32.3;18.8;55.44;86.9;29.03;17.01216;3.506879312;0;6.034045468
25.69;32.43;21.25;55.24;74.7;30.09;13.33152;3.50411654;0;5.868544375
26.3;33.29;20.79;50.59;71.3;25.65;17.22816;3.848542187;0;6.941040607
26.42;33.23;20.26;50.54;74.4;27.37;18.49824;3.456228482;0;6.615587205
